Profit and Loss by Month,,,,,,,,,,,,,,,,,,,,,,,,
And Company (Spicy Cubes),,,,,,,,,,,,,,,,,,,,,,,,
"January 1, 2024-November 30, 2025",,,,,,,,,,,,,,,,,,,,,,,,

Distribution account,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,August 2025,September 2025,October 2025,November 2025,Total
Income,,,,,,,,,,,,,,,,,,,,,,,,
4000 Sales,"2,708.35","11,562.59","1,996.38","57,362.32","22,863.42","14,652.81","64,840.90","112,611.19","35,476.50","25,286.24","28,924.29","87,304.36","72,486.71","123,973.27","81,056.40","157,407.15","291,994.58","346,414.83","286,922.67","210,052.74","198,865.08","294,307.45",,"2,529,070.23"
4010 Discounts,-428.11,-704.04,-725.80,"-2,965.69",-953.23,-842.32,"-4,427.61","-9,816.54","-2,852.88","-1,404.88","-2,727.27","-8,822.15","-6,932.28","-13,825.25","-9,565.44","-19,579.35","-37,112.78","-47,015.69","-53,229.06","-32,955.84","-26,522.65","-38,933.34",,"-322,342.20"
4020 Refunds,-307.20,-369.59,-34.99,"-1,335.78",-293.47,-349.90,-650.13,"-2,482.27",-841.49,-681.32,-357.86,"-1,432.06","-7,185.57","-2,615.87","-1,723.52","-2,750.51","-23,793.02","-48,327.59","-46,411.30","-12,632.22","-8,591.81","-11,943.99",,"-175,111.46"
4030 Shipping Income,186.29,420.59,63.70,"3,371.20",695.80,808.50,"3,699.50","8,305.50","2,352.00","1,352.64","2,077.84","8,829.80","6,174.00","12,147.10","7,207.90","13,783.70","21,535.50","25,705.40","20,129.20","15,969.10","16,635.50","25,193.63",,"196,644.39"
4040 Chargebacks,,,-32.79,,,,-74.53,-192.46,-69.28,-74.53,,-122.68,-819.79,-98.87,-118.46,-99.27,"-1,546.86","-1,252.12","-6,151.24","-1,898.63",-105.74,-858.33,-843.35,"-14,358.93"
Total for Income,"2,159.33","10,909.55","1,266.50","56,432.05","22,312.52","14,269.09","63,388.13","108,425.42","34,064.85","24,478.15","27,917.00","85,757.27","63,723.07","119,580.38","76,856.88","148,761.72","251,077.42","275,524.83","201,260.27","178,535.15","180,280.38","267,765.42",-843.35,"$2,213,902.03"
Cost of Goods Sold,,,,,,,,,,,,,,,,,,,,,,,,
5000 Cost of Goods Sold,986.70,"4,660.26",705.87,"16,580.61","7,916.37","4,956.27","19,752.15","28,381.32","9,495.90","7,074.72","7,309.03","11,933.00","9,640.20","16,864.96","11,004.09","21,388.44","39,264.75","46,999.16","37,845.55","27,494.81","26,629.53","40,372.76",,"397,256.45"
5010 Inbound Freight & Shipping,,,,,,,,"5,089.51",,,,,,,,,,"20,000.00",,,,,,"25,089.51"
